 أصدقائي يقولون لي أنك لا تستطيع القرب للقارب
 يقولون لي أنك لا تستطيع القرب للقارب
 أصدقائي يقولون لي أنك لا تستطيع القرب للقارب
 أصدقائي يقولون لي أنك لا تستطيع القرب للقارب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
 أصدقائي يقولون لي أنك لا تستطيع القرب
